Date,Mean maximum (ºC),Mean(ºC),Mean minimum(ºC),Mean relative humidity (%),Insolation duration (hour),Total rainfall (mm)
1999/10/9,31.8,27.1,24,72,8.7,0
1999/10/10,30.6,27.4,25.1,82,9.6,0
1999/10/11,32.4,27.5,25,84,6.8,0
1999/10/12,30.6,27.3,25.6,82,9.4,0.01
1999/10/13,30.5,27.4,25.3,80,8.7,0
1999/10/14,31.2,27.4,25.6,80,9.6,0
1999/10/15,31.7,27.6,25.5,80,8,0.6
1999/10/16,29.4,26.4,23.7,78,2.5,3
1999/10/17,25.1,22.8,20.8,65,7.9,0
1999/10/18,24.2,22,18.8,55,2.6,0.01
1999/10/19,24.3,22.4,20.4,60,0.1,0.01
1999/10/20,28,24.2,20.5,69,4,0.01
1999/10/21,27.6,24.9,23.6,75,8,0
1999/10/22,29,25.2,23.4,75,9.1,0
1999/10/23,28.4,25.3,23.3,73,7.8,0
1999/10/24,27.3,24,21.6,79,4.3,0.4
1999/10/25,27.3,24.6,22.4,68,9.3,0
1999/10/26,28.4,25,22.8,78,7.9,0
1999/10/27,27.7,24.6,23.4,75,5.3,0
1999/10/28,28.3,24.8,22.9,79,4.8,0
1999/10/29,29.2,24.8,22.7,80,2.8,0.01
1999/10/30,26.8,24.7,23.6,79,4.2,0
1999/10/31,28.9,25.7,23.7,80,6.5,0
1999/11/1,25.5,23.1,18.9,66,4.9,0.6
1999/11/2,22.3,20,17.3,50,2,0
1999/11/3,23.2,20.3,16.5,57,9.5,0
1999/11/4,25.4,21.9,19.1,62,5.8,0
1999/11/5,26.9,23.3,21,74,5.7,0
1999/11/6,26.1,23.6,22.3,79,0.8,0
1999/11/7,28,24.3,22.4,77,4.2,0
1999/11/8,26.6,23.7,21.6,79,1.9,0.2
1999/11/9,25.2,22.3,20.4,84,0.3,1.2
1999/11/10,25.1,22.8,20.6,75,5.6,0.2
1999/11/11,25.3,23.2,21.6,83,1.2,3.6
1999/11/12,22.5,21,20.3,94,0,29.6
1999/11/13,24.2,21.9,20.2,80,0.8,0
1999/11/14,26.2,22.9,20.7,79,8.3,0
